transcript_id	U2-GT/AG	U2-nc-GC/AG	U12-AT/AC	unknown
MSTRG.11841.18	0	1	0	0
MSTRG.11841.20	0	1	0	0
MSTRG.11841.21	0	1	0	0
MSTRG.11841.27	0	1	0	0
MSTRG.11841.41	0	1	0	0
MSTRG.11843.69	0	1	0	0
MSTRG.11848.2	0	1	0	0
MSTRG.11848.3	0	1	0	0
MSTRG.1208.17	1	0	0	0
MSTRG.1216.13	0	1	0	0
MSTRG.12226.10	1	0	0	0
MSTRG.12226.7	1	0	0	0
MSTRG.12296.10	0	1	0	0
MSTRG.12296.13	0	1	0	0
MSTRG.12296.18	1	0	0	0
MSTRG.12296.5	0	1	0	0
MSTRG.1245.10	1	0	0	0
MSTRG.1249.18	0	0	0	1
MSTRG.12562.12	1	0	0	0
MSTRG.12562.16	1	0	0	0
MSTRG.12562.19	0	0	0	1
MSTRG.1274.24	1	0	0	0
MSTRG.1274.27	1	0	0	0
MSTRG.1274.28	1	0	0	0
MSTRG.1274.31	1	0	0	0
MSTRG.1274.32	1	0	0	0
MSTRG.1274.36	1	0	0	0
MSTRG.1274.37	0	1	0	0
MSTRG.12762.21	1	0	0	0
MSTRG.12762.29	1	0	0	0
MSTRG.12782.83	1	0	0	0
MSTRG.12785.1	0	0	1	0
MSTRG.12948.7	1	0	0	0
MSTRG.12957.4	1	0	0	0
MSTRG.12957.8	1	0	0	0
MSTRG.12974.11	0	1	0	0
MSTRG.12974.2	0	1	0	0
MSTRG.12974.5	1	0	0	0
MSTRG.12974.6	0	1	0	0
MSTRG.12974.8	1	0	0	0
MSTRG.12991.3	0	1	0	0
MSTRG.12993.10	1	0	0	0
MSTRG.13019.6	0	0	0	1
MSTRG.13020.13	1	0	0	0
MSTRG.13020.21	1	0	0	0
MSTRG.13020.22	0	1	0	0
MSTRG.13020.23	1	0	0	0
MSTRG.13021.1	1	0	0	0
MSTRG.13021.2	1	0	0	0
MSTRG.13021.5	1	0	0	0
MSTRG.13021.6	1	0	0	0
MSTRG.13021.7	1	0	0	0
MSTRG.13021.8	1	0	0	0
MSTRG.13039.11	0	0	0	1
MSTRG.13050.134	1	0	0	0
MSTRG.1308.15	0	1	0	0
MSTRG.13103.1	1	0	0	0
MSTRG.13112.5	1	0	0	0
MSTRG.13125.37	0	1	0	0
MSTRG.13130.10	1	0	0	0
MSTRG.13158.1	0	0	0	1
MSTRG.13163.1	0	1	0	0
MSTRG.13184.3	1	0	0	0
MSTRG.13184.5	1	0	0	0
MSTRG.13184.6	1	0	0	0
MSTRG.13184.7	0	0	0	1
MSTRG.13242.3	1	0	0	0
MSTRG.13248.3	1	0	0	0
MSTRG.13248.7	0	1	0	0
MSTRG.13263.5	1	0	0	0
MSTRG.13269.6	0	0	0	1
MSTRG.13283.3	0	0	0	1
MSTRG.13307.43	0	0	0	1
MSTRG.13311.23	0	1	0	0
MSTRG.13311.28	0	1	0	0
MSTRG.13322.1	1	0	0	0
MSTRG.13322.6	1	0	0	0
MSTRG.13322.9	0	0	0	1
MSTRG.13324.14	1	0	0	0
MSTRG.13324.19	1	0	0	0
MSTRG.13325.15	0	1	0	0
MSTRG.13325.16	1	0	0	0
MSTRG.13379.9	1	0	0	0
MSTRG.13390.7	0	1	0	0
MSTRG.13555.10	1	0	0	0
MSTRG.13555.13	1	0	0	0
MSTRG.13555.14	1	0	0	0
MSTRG.13555.15	0	1	0	0
MSTRG.13555.16	1	0	0	0
MSTRG.13555.19	0	1	0	0
MSTRG.13555.2	0	1	0	0
MSTRG.13555.20	1	0	0	0
MSTRG.13555.21	1	0	0	0
MSTRG.13555.22	1	0	0	0
MSTRG.13555.23	1	0	0	0
MSTRG.13555.24	1	0	0	0
MSTRG.13555.29	1	0	0	0
MSTRG.13555.3	1	0	0	0
MSTRG.13555.30	1	0	0	0
MSTRG.13555.32	1	0	0	0
MSTRG.13555.4	1	0	0	0
MSTRG.13555.5	0	1	0	0
MSTRG.13555.8	1	0	0	0
MSTRG.13555.9	1	0	0	0
MSTRG.13624.5	1	0	0	0
MSTRG.13624.7	1	0	0	0
MSTRG.13728.5	1	0	0	0
MSTRG.13728.6	1	0	0	0
MSTRG.13728.7	1	0	0	0
MSTRG.1373.4	1	0	0	0
MSTRG.1373.9	1	0	0	0
MSTRG.1384.2	0	0	1	0
MSTRG.13864.1	0	1	0	0
MSTRG.13864.11	1	0	0	0
MSTRG.13864.14	0	1	0	0
MSTRG.13864.16	1	0	0	0
MSTRG.13864.18	0	1	0	0
MSTRG.13864.24	0	1	0	0
MSTRG.13864.3	1	0	0	0
MSTRG.13923.6	1	0	0	0
MSTRG.13938.7	0	0	1	0
MSTRG.13956.8	0	0	0	1
MSTRG.1400.6	1	0	0	0
MSTRG.1411.15	0	0	0	1
MSTRG.14253.2	1	0	0	0
MSTRG.14259.29	0	0	0	1
MSTRG.14290.12	1	0	0	0
MSTRG.14290.5	1	0	0	0
MSTRG.14402.1	1	0	0	0
MSTRG.14417.1	1	0	0	0
MSTRG.14417.2	1	0	0	0
MSTRG.1447.2	0	1	0	0
MSTRG.1452.4	1	0	0	0
MSTRG.14665.10	1	0	0	0
MSTRG.14665.16	1	0	0	0
MSTRG.14665.17	0	0	0	1
MSTRG.14665.18	1	0	0	0
MSTRG.1468.18	0	1	0	0
MSTRG.1468.24	0	1	0	0
MSTRG.1468.26	0	1	0	0
MSTRG.1468.27	0	1	0	0
MSTRG.1468.30	1	0	0	0
MSTRG.1468.31	1	0	0	0
MSTRG.1468.32	0	1	0	0
MSTRG.1468.33	0	1	0	0
MSTRG.1468.34	0	1	0	0
MSTRG.1468.36	1	0	0	0
MSTRG.1468.37	0	1	0	0
MSTRG.14836.1	0	0	0	1
MSTRG.1508.7	1	0	0	0
MSTRG.15142.5	0	1	0	0
MSTRG.15158.22	0	0	0	1
MSTRG.15162.1	1	0	0	0
MSTRG.15162.3	1	0	0	0
MSTRG.15170.5	1	0	0	0
MSTRG.15170.8	1	0	0	0
MSTRG.15188.2	0	1	0	0
MSTRG.1519.13	0	0	0	1
MSTRG.15198.5	1	0	0	0
MSTRG.15198.7	0	1	0	0
MSTRG.15284.3	0	0	0	1
MSTRG.15295.15	0	1	0	0
MSTRG.15348.4	1	0	0	0
MSTRG.1555.15	1	0	0	0
MSTRG.15584.10	1	0	0	0
MSTRG.15584.15	1	0	0	0
MSTRG.15584.18	1	0	0	0
MSTRG.15584.21	1	0	0	0
MSTRG.15584.22	1	0	0	0
MSTRG.15584.23	1	0	0	0
MSTRG.15584.9	1	0	0	0
MSTRG.1562.11	1	0	0	0
MSTRG.15804.10	1	0	0	0
MSTRG.15804.11	1	0	0	0
MSTRG.15804.8	1	0	0	0
MSTRG.15806.15	1	0	0	0
MSTRG.15806.19	0	1	0	0
MSTRG.15810.19	0	1	0	0
MSTRG.15859.49	1	0	0	0
MSTRG.15951.33	1	0	0	0
MSTRG.15955.13	0	0	0	1
MSTRG.16002.10	1	0	0	0
MSTRG.16002.13	1	0	0	0
MSTRG.16012.9	1	0	0	0
MSTRG.16023.41	1	0	0	0
MSTRG.16023.59	1	0	0	0
MSTRG.16092.6	0	1	0	0
MSTRG.16180.4	1	0	0	0
MSTRG.16180.6	1	0	0	0
MSTRG.16213.2	1	0	0	0
MSTRG.16225.2	1	0	0	0
MSTRG.16225.4	1	0	0	0
MSTRG.16225.5	1	0	0	0
MSTRG.16231.15	1	0	0	0
MSTRG.16422.4	1	0	0	0
MSTRG.16423.3	1	0	0	0
MSTRG.16468.5	1	0	0	0
MSTRG.1648.25	0	0	0	1
MSTRG.1648.3	0	0	0	1
MSTRG.16572.21	1	0	0	0
MSTRG.16640.1	1	0	0	0
MSTRG.16640.8	1	0	0	0
MSTRG.16706.15	1	0	0	0
MSTRG.1674.7	1	0	0	0
MSTRG.16973.7	1	0	0	0
MSTRG.170.10	1	0	0	0
MSTRG.1707.32	0	0	0	1
MSTRG.17108.27	1	0	0	0
MSTRG.17151.27	1	0	0	0
MSTRG.17151.31	1	0	0	0
MSTRG.17151.33	0	1	0	0
MSTRG.17205.13	1	0	0	0
MSTRG.17205.41	0	1	0	0
MSTRG.17230.49	1	0	0	0
MSTRG.17240.1	1	0	0	0
MSTRG.17240.2	1	0	0	0
MSTRG.17240.4	1	0	0	0
MSTRG.17240.6	0	1	0	0
MSTRG.17240.9	1	0	0	0
MSTRG.17247.5	1	0	0	0
MSTRG.17389.3	1	0	0	0
MSTRG.17443.10	1	0	0	0
MSTRG.17443.13	0	0	0	1
MSTRG.17443.14	0	0	0	1
MSTRG.17443.9	0	1	0	0
MSTRG.17490.5	1	0	0	0
MSTRG.17490.6	1	0	0	0
MSTRG.17510.1	1	0	0	0
MSTRG.17517.14	0	1	0	0
MSTRG.17533.6	1	0	0	0
MSTRG.17539.6	0	1	0	0
MSTRG.17540.3	1	0	0	0
MSTRG.17540.4	1	0	0	0
MSTRG.17540.7	1	0	0	0
MSTRG.17619.115	1	0	0	0
MSTRG.17619.133	1	0	0	0
MSTRG.17619.79	1	0	0	0
MSTRG.17619.81	0	1	0	0
MSTRG.17619.91	1	0	0	0
MSTRG.17787.4	1	0	0	0
MSTRG.17818.4	1	0	0	0
MSTRG.17829.1	1	0	0	0
MSTRG.17833.1	1	0	0	0
MSTRG.17947.8	0	0	0	1
MSTRG.18034.1	1	0	0	0
MSTRG.18060.6	1	0	0	0
MSTRG.18100.15	0	0	1	0
MSTRG.18170.6	1	0	0	0
MSTRG.18387.4	1	0	0	0
MSTRG.18416.22	1	0	0	0
MSTRG.18474.4	0	1	0	0
MSTRG.1862.1	1	0	0	0
MSTRG.18650.1	0	1	0	0
MSTRG.18650.3	0	1	0	0
MSTRG.18722.11	0	0	0	1
MSTRG.18722.12	0	0	0	1
MSTRG.18781.26	0	0	0	1
MSTRG.18783.8	0	0	0	1
MSTRG.18833.5	1	0	0	0
MSTRG.18983.1	1	0	0	0
MSTRG.18988.29	0	0	0	1
MSTRG.18988.31	0	0	0	1
MSTRG.18988.34	0	0	0	1
MSTRG.18988.36	0	0	0	1
MSTRG.18988.37	0	0	0	1
MSTRG.18988.38	0	0	0	1
MSTRG.18999.16	1	0	0	0
MSTRG.19013.11	0	0	0	1
MSTRG.19013.13	1	0	0	0
MSTRG.19039.51	0	0	0	1
MSTRG.19192.3	1	0	0	0
MSTRG.1926.26	1	0	0	0
MSTRG.1930.1	0	1	0	0
MSTRG.1935.4	0	0	0	1
MSTRG.1935.9	0	0	0	1
MSTRG.19367.29	0	1	0	0
MSTRG.19373.5	0	0	0	1
MSTRG.19373.7	0	0	0	1
MSTRG.19449.31	0	0	1	0
MSTRG.19451.22	0	0	1	0
MSTRG.19451.25	0	0	1	0
MSTRG.19451.3	0	0	1	0
MSTRG.19451.7	0	0	1	0
MSTRG.19463.2	1	0	0	0
MSTRG.19473.5	0	0	1	0
MSTRG.19482.3	1	0	0	0
MSTRG.19482.9	1	0	0	0
MSTRG.19483.2	0	1	0	0
MSTRG.1953.2	1	0	0	0
MSTRG.1963.5	1	0	0	0
MSTRG.1963.7	1	0	0	0
MSTRG.1963.9	1	0	0	0
MSTRG.19694.12	1	0	0	0
MSTRG.19694.3	0	0	0	1
MSTRG.19768.8	1	0	0	0
MSTRG.19783.9	1	0	0	0
MSTRG.19955.20	1	0	0	0
MSTRG.20082.10	1	0	0	0
MSTRG.20082.3	1	0	0	0
MSTRG.20249.14	0	0	0	1
MSTRG.20249.6	0	0	0	1
MSTRG.20432.3	1	0	0	0
MSTRG.20651.5	1	0	0	0
MSTRG.20694.3	0	0	0	1
MSTRG.20694.5	0	0	0	1
MSTRG.20812.9	0	1	0	0
MSTRG.2086.4	1	0	0	0
MSTRG.20866.17	0	0	0	1
MSTRG.20866.18	0	0	0	1
MSTRG.20886.4	1	0	0	0
MSTRG.20943.2	1	0	0	0
MSTRG.21234.12	0	1	0	0
MSTRG.21234.5	0	0	1	0
MSTRG.2145.11	1	0	0	0
MSTRG.21512.5	1	0	0	0
MSTRG.21644.1	1	0	0	0
MSTRG.21644.13	1	0	0	0
MSTRG.21644.4	1	0	0	0
MSTRG.2200.2	1	0	0	0
MSTRG.22189.4	1	0	0	0
MSTRG.22289.33	1	0	0	0
MSTRG.22323.6	0	1	0	0
MSTRG.22333.3	1	0	0	0
MSTRG.22358.12	1	0	0	0
MSTRG.22358.29	1	0	0	0
MSTRG.22358.39	1	0	0	0
MSTRG.22358.40	1	0	0	0
MSTRG.22358.46	1	0	0	0
MSTRG.22360.2	1	0	0	0
MSTRG.22424.107	0	0	0	1
MSTRG.22424.133	0	0	0	1
MSTRG.22424.38	0	0	0	1
MSTRG.22465.7	1	0	0	0
MSTRG.22472.4	0	1	0	0
MSTRG.22472.5	1	0	0	0
MSTRG.22472.7	1	0	0	0
MSTRG.22479.11	1	0	0	0
MSTRG.22482.28	0	1	0	0
MSTRG.22482.30	1	0	0	0
MSTRG.22554.55	1	0	0	0
MSTRG.22560.17	0	1	0	0
MSTRG.22789.72	1	0	0	0
MSTRG.22800.2	0	0	0	1
MSTRG.2296.2	1	0	0	0
MSTRG.23072.15	0	0	0	1
MSTRG.23072.18	0	0	0	1
MSTRG.23072.19	0	0	0	1
MSTRG.23072.21	0	0	0	1
MSTRG.23072.23	0	0	0	1
MSTRG.23072.28	0	0	0	1
MSTRG.23085.5	1	0	0	0
MSTRG.23096.12	1	0	0	0
MSTRG.23096.3	1	0	0	0
MSTRG.23301.1	1	0	0	0
MSTRG.23301.21	1	0	0	0
MSTRG.23301.22	1	0	0	0
MSTRG.23301.23	1	0	0	0
MSTRG.23301.34	1	0	0	0
MSTRG.23301.9	1	0	0	0
MSTRG.23476.4	1	0	0	0
MSTRG.23550.19	0	1	0	0
MSTRG.23550.8	1	0	0	0
MSTRG.23593.17	1	0	0	0
MSTRG.23674.5	1	0	0	0
MSTRG.2369.2	1	0	0	0
MSTRG.2369.3	1	0	0	0
MSTRG.23721.46	1	0	0	0
MSTRG.23757.12	0	0	0	1
MSTRG.23757.13	1	0	0	0
MSTRG.23821.4	0	0	0	1
MSTRG.23896.34	1	0	0	0
MSTRG.23962.8	1	0	0	0
MSTRG.23994.10	1	0	0	0
MSTRG.240.22	1	0	0	0
MSTRG.24002.30	1	0	0	0
MSTRG.24031.7	1	0	0	0
MSTRG.24354.12	1	0	0	0
MSTRG.24354.15	0	1	0	0
MSTRG.24359.1	1	0	0	0
MSTRG.24359.12	1	0	0	0
MSTRG.24359.13	1	0	0	0
MSTRG.24359.18	1	0	0	0
MSTRG.24359.20	1	0	0	0
MSTRG.24359.24	1	0	0	0
MSTRG.24359.4	1	0	0	0
MSTRG.24359.5	1	0	0	0
MSTRG.24359.6	1	0	0	0
MSTRG.24359.7	1	0	0	0
MSTRG.24375.2	1	0	0	0
MSTRG.24417.3	1	0	0	0
MSTRG.24424.1	1	0	0	0
MSTRG.24424.12	1	0	0	0
MSTRG.24424.18	1	0	0	0
MSTRG.24424.30	1	0	0	0
MSTRG.24424.5	1	0	0	0
MSTRG.24424.6	1	0	0	0
MSTRG.24620.14	1	0	0	0
MSTRG.24774.1	1	0	0	0
MSTRG.24774.7	1	0	0	0
MSTRG.24785.3	0	1	0	0
MSTRG.24788.1	1	0	0	0
MSTRG.24788.2	1	0	0	0
MSTRG.24788.5	1	0	0	0
MSTRG.24834.14	1	0	0	0
MSTRG.24834.5	1	0	0	0
MSTRG.24883.34	1	0	0	0
MSTRG.24883.46	1	0	0	0
MSTRG.24883.55	1	0	0	0
MSTRG.24883.57	1	0	0	0
MSTRG.24883.65	1	0	0	0
MSTRG.24883.72	1	0	0	0
MSTRG.24883.75	1	0	0	0
MSTRG.24883.86	1	0	0	0
MSTRG.24885.39	0	1	0	0
MSTRG.24948.18	0	0	0	1
MSTRG.25530.1	1	0	0	0
MSTRG.25716.11	1	0	0	0
MSTRG.25716.20	1	0	0	0
MSTRG.2575.3	1	0	0	0
MSTRG.26020.4	1	0	0	0
MSTRG.26022.4	1	0	0	0
MSTRG.26040.11	0	0	1	0
MSTRG.26040.2	0	0	0	1
MSTRG.26040.3	0	0	1	0
MSTRG.26040.4	1	0	0	0
MSTRG.26040.6	0	0	0	1
MSTRG.26040.7	0	0	0	1
MSTRG.26040.8	0	0	0	1
MSTRG.26149.2	1	0	0	0
MSTRG.26180.84	0	0	0	1
MSTRG.26199.14	0	0	0	1
MSTRG.26199.5	0	0	0	1
MSTRG.26203.4	0	0	1	0
MSTRG.26300.22	1	0	0	0
MSTRG.26324.14	1	0	0	0
MSTRG.26364.1	0	0	0	1
MSTRG.26612.9	0	0	0	1
MSTRG.26617.3	0	0	0	1
MSTRG.26617.5	0	0	0	1
MSTRG.26617.6	0	0	0	1
MSTRG.26624.12	0	1	0	0
MSTRG.26664.4	1	0	0	0
MSTRG.26711.14	0	0	0	1
MSTRG.26711.9	1	0	0	0
MSTRG.26748.3	1	0	0	0
MSTRG.26785.12	1	0	0	0
MSTRG.26785.6	1	0	0	0
MSTRG.26788.10	1	0	0	0
MSTRG.26888.2	1	0	0	0
MSTRG.26929.7	1	0	0	0
MSTRG.27013.9	1	0	0	0
MSTRG.27033.31	0	0	0	1
MSTRG.27083.47	1	0	0	0
MSTRG.27083.48	0	1	0	0
MSTRG.27099.1	0	0	0	1
MSTRG.27099.3	1	0	0	0
MSTRG.27127.11	1	0	0	0
MSTRG.27172.11	1	0	0	0
MSTRG.27182.4	0	1	0	0
MSTRG.27182.5	1	0	0	0
MSTRG.27323.42	1	0	0	0
MSTRG.27323.43	1	0	0	0
MSTRG.27323.44	1	0	0	0
MSTRG.27323.45	1	0	0	0
MSTRG.27323.46	1	0	0	0
MSTRG.27323.47	1	0	0	0
MSTRG.27323.48	1	0	0	0
MSTRG.27323.51	1	0	0	0
MSTRG.27323.52	1	0	0	0
MSTRG.27368.10	1	0	0	0
MSTRG.27368.11	0	0	0	1
MSTRG.27368.13	0	0	0	1
MSTRG.27368.15	1	0	0	0
MSTRG.27368.7	0	0	0	1
MSTRG.27368.9	0	0	0	1
MSTRG.27454.21	1	0	0	0
MSTRG.27454.42	0	0	0	1
MSTRG.27454.51	0	0	0	1
MSTRG.27460.6	0	1	0	0
MSTRG.27460.7	0	1	0	0
MSTRG.27531.2	0	1	0	0
MSTRG.27531.22	0	0	0	1
MSTRG.27539.4	1	0	0	0
MSTRG.276.13	0	0	0	1
MSTRG.27779.2	1	0	0	0
MSTRG.27899.3	1	0	0	0
MSTRG.27921.9	0	0	0	1
MSTRG.27969.13	0	0	0	1
MSTRG.27969.18	0	0	0	1
MSTRG.27969.20	1	0	0	0
MSTRG.27969.22	0	0	1	0
MSTRG.27969.5	0	0	1	0
MSTRG.27969.7	0	0	0	1
MSTRG.27994.117	1	0	0	0
MSTRG.28012.7	0	1	0	0
MSTRG.28036.10	1	0	0	0
MSTRG.28039.2	1	0	0	0
MSTRG.28043.10	0	0	0	1
MSTRG.28050.21	0	1	0	0
MSTRG.28089.38	0	1	0	0
MSTRG.28105.4	0	1	0	0
MSTRG.28138.30	0	1	0	0
MSTRG.28198.25	1	0	0	0
MSTRG.28198.26	1	0	0	0
MSTRG.28198.29	1	0	0	0
MSTRG.28198.46	1	0	0	0
MSTRG.28198.47	0	1	0	0
MSTRG.28198.5	1	0	0	0
MSTRG.28198.53	1	0	0	0
MSTRG.28198.66	1	0	0	0
MSTRG.28198.68	1	0	0	0
MSTRG.28198.76	1	0	0	0
MSTRG.28232.14	0	0	0	1
MSTRG.28232.15	1	0	0	0
MSTRG.28232.30	1	0	0	0
MSTRG.28232.31	0	1	0	0
MSTRG.28232.37	1	0	0	0
MSTRG.28232.5	1	0	0	0
MSTRG.28232.7	0	1	0	0
MSTRG.28239.11	0	1	0	0
MSTRG.28239.2	1	0	0	0
MSTRG.28239.7	1	0	0	0
MSTRG.28405.3	1	0	0	0
MSTRG.28493.3	1	0	0	0
MSTRG.28623.10	0	1	0	0
MSTRG.28629.25	0	0	0	1
MSTRG.28710.3	1	0	0	0
MSTRG.28730.10	1	0	0	0
MSTRG.28740.37	1	0	0	0
MSTRG.28784.44	0	1	0	0
MSTRG.28839.2	1	0	0	0
MSTRG.28960.4	1	0	0	0
MSTRG.28981.12	1	0	0	0
MSTRG.28981.17	1	0	0	0
MSTRG.28981.6	1	0	0	0
MSTRG.28981.9	1	0	0	0
MSTRG.29013.1	1	0	0	0
MSTRG.29082.12	1	0	0	0
MSTRG.29082.13	0	1	0	0
MSTRG.29104.31	1	0	0	0
MSTRG.29104.32	1	0	0	0
MSTRG.29104.34	1	0	0	0
MSTRG.29104.39	1	0	0	0
MSTRG.29104.44	1	0	0	0
MSTRG.29104.45	1	0	0	0
MSTRG.29131.18	1	0	0	0
MSTRG.29131.21	1	0	0	0
MSTRG.29131.25	1	0	0	0
MSTRG.29402.1	1	0	0	0
MSTRG.29436.7	0	0	0	1
MSTRG.29691.2	1	0	0	0
MSTRG.29698.26	0	1	0	0
MSTRG.29746.1	0	1	0	0
MSTRG.29770.15	1	0	0	0
MSTRG.2990.2	0	0	0	1
MSTRG.30066.4	1	0	0	0
MSTRG.30094.13	0	1	0	0
MSTRG.30094.24	1	0	0	0
MSTRG.30094.25	1	0	0	0
MSTRG.30143.3	1	0	0	0
MSTRG.30167.49	0	0	0	1
MSTRG.30275.13	1	0	0	0
MSTRG.30275.6	0	1	0	0
MSTRG.30275.7	1	0	0	0
MSTRG.30300.10	1	0	0	0
MSTRG.30300.17	1	0	0	0
MSTRG.30305.14	1	0	0	0
MSTRG.30305.22	1	0	0	0
MSTRG.30467.3	1	0	0	0
MSTRG.30496.14	1	0	0	0
MSTRG.30513.10	0	0	0	1
MSTRG.30513.12	1	0	0	0
MSTRG.30513.13	0	0	0	1
MSTRG.30513.14	1	0	0	0
MSTRG.30513.15	0	0	0	1
MSTRG.30513.16	0	0	0	1
MSTRG.30513.17	0	0	0	1
MSTRG.30513.19	0	0	0	1
MSTRG.30513.20	1	0	0	0
MSTRG.30513.21	0	0	0	1
MSTRG.30513.22	1	0	0	0
MSTRG.30513.4	0	0	0	1
MSTRG.30513.5	0	0	0	1
MSTRG.30513.7	1	0	0	0
MSTRG.30513.9	1	0	0	0
MSTRG.30554.13	1	0	0	0
MSTRG.30569.36	0	1	0	0
MSTRG.30574.26	0	1	0	0
MSTRG.30710.14	1	0	0	0
MSTRG.30723.6	0	1	0	0
MSTRG.30804.1	0	1	0	0
MSTRG.30825.11	1	0	0	0
MSTRG.30897.48	1	0	0	0
MSTRG.30897.57	1	0	0	0
MSTRG.30927.6	0	1	0	0
MSTRG.30932.6	1	0	0	0
