transcript,gene,ref_transcript
MSTRG.1468.26,NBL1,ENST00000375136
MSTRG.1468.27,NBL1,ENST00000375136
MSTRG.1468.30,NBL1,ENST00000375136
MSTRG.1468.31,NBL1,ENST00000375136
MSTRG.1468.32,NBL1,ENST00000375136
MSTRG.1468.33,NBL1,ENST00000375136
MSTRG.1468.34,NBL1,ENST00000375136
MSTRG.1468.36,NBL1,ENST00000375136
MSTRG.1468.37,NBL1,ENST00000375136
MSTRG.14836.1,ACAT1,ENST00000265838
MSTRG.1508.7,YRDC,ENST00000373044
MSTRG.15142.5,ARCN1,ENST00000359415
MSTRG.15158.22,TRAPPC4,ENST00000434101
MSTRG.15162.1,RPS25,ENST00000527673
MSTRG.15162.3,RPS25,ENST00000527673
MSTRG.15170.5,HMBS,ENST00000278715
MSTRG.15170.8,HMBS,ENST00000278715
MSTRG.15188.2,THY1,ENST00000284240
MSTRG.1519.13,NDUFS5,ENST00000372969
MSTRG.15198.5,NECTIN1,ENST00000264025
MSTRG.15198.7,NECTIN1,ENST00000264025
MSTRG.15284.3,HSPA8,ENST00000534624
MSTRG.15295.15,GRAMD1B,ENST00000638157
MSTRG.15348.4,GRIK4,ENST00000438375
MSTRG.1555.15,MYCL,ENST00000397332
MSTRG.15584.10,TP53AIP1,ENST00000458238
MSTRG.15584.15,TP53AIP1,ENST00000458238
MSTRG.15584.18,TP53AIP1,ENST00000458238
MSTRG.15584.21,TP53AIP1,ENST00000531399
MSTRG.15584.22,TP53AIP1,ENST00000525390
MSTRG.15584.23,TP53AIP1,ENST00000458238
MSTRG.15584.9,TP53AIP1,ENST00000458238
MSTRG.1562.11,PPT1,ENST00000433473
MSTRG.15804.10,FKBP4,ENST00000001008
MSTRG.15804.11,FKBP4,ENST00000001008
MSTRG.15804.8,FKBP4,ENST00000001008
MSTRG.15806.15,ITFG2,ENST00000228799
MSTRG.15806.19,ITFG2,ENST00000228799
MSTRG.15810.19,TULP3,ENST00000448120
MSTRG.15859.49,RBP5,ENST00000266560
MSTRG.15951.33,PTPN6,ENST00000318974
MSTRG.15955.13,PHB2,ENST00000535923
MSTRG.16002.10,GABARAPL1,ENST00000266458
MSTRG.16002.13,GABARAPL1,ENST00000266458
MSTRG.16012.9,KLRC1,ENST00000347831
MSTRG.16023.41,YBX3,ENST00000279550
MSTRG.16023.59,YBX3,ENST00000228251
MSTRG.16092.6,MANSC1,ENST00000535902
MSTRG.16180.4,GPRC5A,ENST00000014914
MSTRG.16180.6,GPRC5A,ENST00000014914
MSTRG.16213.2,EMP1,ENST00000256951
MSTRG.16225.2,H2AFJ,ENST00000501744
MSTRG.16225.4,H2AFJ,ENST00000389078
MSTRG.16225.5,H2AFJ,ENST00000389078
MSTRG.16231.15,MGP,ENST00000228938
MSTRG.16422.4,RECQL,ENST00000444129
MSTRG.16423.3,GOLT1B,ENST00000540141
MSTRG.16468.5,BCAT1,ENST00000261192
MSTRG.1648.25,PPIH,ENST00000304979
MSTRG.1648.3,PPIH,ENST00000304979
MSTRG.16572.21,A2M,ENST00000318602
MSTRG.16640.1,ERGIC2,ENST00000360150
MSTRG.16640.8,ERGIC2,ENST00000360150
MSTRG.16706.15,FAM60A,ENST00000337682
MSTRG.1674.7,SLC2A1,ENST00000426263
MSTRG.16973.7,SLC38A1,ENST00000398637
MSTRG.170.10,CEP104,ENST00000378230
MSTRG.1707.32,ATP6V0B,ENST00000468183
MSTRG.17108.27,PTMS,ENST00000389462
MSTRG.17151.27,ARF3,ENST00000256682
MSTRG.17151.31,ARF3,ENST00000256682
MSTRG.17151.33,ARF3,ENST00000256682
MSTRG.17205.13,TMBIM6,ENST00000549385
MSTRG.17205.41,TMBIM6,ENST00000549385
MSTRG.17230.49,COX14,ENST00000317943
MSTRG.17240.1,DAZAP2,ENST00000412716
MSTRG.17240.2,DAZAP2,ENST00000412716
MSTRG.17240.4,DAZAP2,ENST00000412716
MSTRG.17240.6,DAZAP2,ENST00000412716
MSTRG.17240.9,DAZAP2,ENST00000412716
MSTRG.17247.5,METTL7A,ENST00000332160
MSTRG.17389.3,ZNF740,ENST00000416904
MSTRG.17443.10,HNRNPA1,ENST00000546500
MSTRG.17443.13,HNRNPA1,ENST00000340913
MSTRG.17443.14,HNRNPA1,ENST00000340913
MSTRG.17443.9,HNRNPA1,ENST00000340913
MSTRG.17490.5,PTGES3,ENST00000262033
MSTRG.17490.6,PTGES3,ENST00000614328
MSTRG.17510.1,NEMP1,ENST00000300128
MSTRG.17517.14,NDUFA4L2,ENST00000554503
MSTRG.17533.6,ARHGEF25,ENST00000286494
MSTRG.17539.6,OS9,ENST00000315970
MSTRG.17540.3,AGAP2,ENST00000257897
MSTRG.17540.4,AGAP2,ENST00000257897
MSTRG.17540.7,AGAP2,ENST00000257897
MSTRG.17619.115,RAB5B,ENST00000360299
MSTRG.17619.133,RAB5B,ENST00000360299
MSTRG.17619.79,CDK2,ENST00000266970
MSTRG.17619.81,CDK2,ENST00000553376
MSTRG.17619.91,CDK2,ENST00000266970
MSTRG.17787.4,RASSF3,ENST00000542104
MSTRG.17818.4,LLPH,ENST00000266604
MSTRG.17829.1,NAB2,ENST00000300131
MSTRG.17833.1,CAND1,ENST00000535146
MSTRG.17947.8,RAP1B,ENST00000250559
MSTRG.18034.1,ATXN7L3B,ENST00000519948
MSTRG.18060.6,KCNMB4,ENST00000258111
MSTRG.18100.15,TMEM19,ENST00000266673
MSTRG.18170.6,ACSS3,ENST00000548058
MSTRG.18387.4,LUM,ENST00000266718
MSTRG.18416.22,BTG1,ENST00000256015
MSTRG.18474.4,MRPL42,ENST00000358678
MSTRG.1862.1,TRABD2B,ENST00000606738
MSTRG.18650.1,TMPO,ENST00000556029
MSTRG.18650.3,TMPO,ENST00000556029
MSTRG.18722.11,NUP37,ENST00000552283
MSTRG.18722.12,NUP37,ENST00000552283
MSTRG.18781.26,HSP90B1,ENST00000299767
MSTRG.18783.8,C12orf73,ENST00000547975
MSTRG.18833.5,CKAP4,ENST00000378026
MSTRG.18983.1,GIT2,ENST00000355312
MSTRG.18988.29,ARPC3,ENST00000228825
MSTRG.18988.31,ARPC3,ENST00000228825
MSTRG.18988.34,ARPC3,ENST00000228825
MSTRG.18988.36,ARPC3,ENST00000228825
MSTRG.18988.37,ARPC3,ENST00000228825
MSTRG.18988.38,ARPC3,ENST00000228825
MSTRG.18999.16,TCTN1,ENST00000377654
MSTRG.19013.11,PPP1CC,ENST00000340766
MSTRG.19013.13,PPP1CC,ENST00000340766
MSTRG.19039.51,ALDH2,ENST00000261733
MSTRG.19192.3,C12orf49,ENST00000261318
MSTRG.1926.26,FAAH,ENST00000243167
MSTRG.1930.1,RAB3B,ENST00000371655
MSTRG.1935.4,TXNDC12,ENST00000371626
MSTRG.1935.9,TXNDC12,ENST00000371626
MSTRG.19367.29,PXN,ENST00000228307
MSTRG.19373.5,COX6A1,ENST00000229379
MSTRG.19373.7,COX6A1,ENST00000229379
MSTRG.19449.31,HCAR1,ENST00000432564
MSTRG.19451.22,DENR,ENST00000280557
MSTRG.19451.25,DENR,ENST00000280557
MSTRG.19451.3,DENR,ENST00000280557
MSTRG.19451.7,DENR,ENST00000280557
MSTRG.19463.2,SBNO1,ENST00000267176
MSTRG.19473.5,TMED2,ENST00000262225
MSTRG.19482.3,EIF2B1,ENST00000424014
MSTRG.19482.9,EIF2B1,ENST00000424014
MSTRG.19483.2,GTF2H3,ENST00000543341
MSTRG.1953.2,COA7,ENST00000371538
MSTRG.1963.5,RNF11,ENST00000242719
MSTRG.1963.7,RNF11,ENST00000242719
MSTRG.1963.9,RNF11,ENST00000242719
MSTRG.19694.12,RAN,ENST00000448750
MSTRG.19694.3,RAN,ENST00000392369
MSTRG.19768.8,ANKLE2,ENST00000357997
MSTRG.19783.9,ZNF84,ENST00000327668
MSTRG.19955.20,GJB2,ENST00000382848
MSTRG.20082.10,SAP18,ENST00000382533
MSTRG.20082.3,SAP18,ENST00000382533
MSTRG.20249.14,POMP,ENST00000460403
MSTRG.20249.6,POMP,ENST00000460403
MSTRG.20432.3,UFM1,ENST00000239878
MSTRG.20651.5,GTF2F2,ENST00000340473
MSTRG.20694.3,TPT1,ENST00000530705
MSTRG.20694.5,TPT1,ENST00000530705
MSTRG.20812.9,CAB39L,ENST00000610540
MSTRG.2086.4,DHCR24,ENST00000371269
MSTRG.20866.17,DLEU1,ENST00000469754
MSTRG.20866.18,DLEU1,ENST00000469754
MSTRG.20886.4,WDFY2,ENST00000298125
MSTRG.20943.2,OLFM4,ENST00000219022
MSTRG.21234.12,KLF5,ENST00000377687
MSTRG.21234.5,KLF5,ENST00000377687
MSTRG.2145.11,TACSTD2,ENST00000371225
MSTRG.21512.5,SLITRK5,ENST00000325089
MSTRG.21644.1,RBM26,ENST00000267229
MSTRG.21644.13,RBM26,ENST00000267229
MSTRG.21644.4,RBM26,ENST00000267229
MSTRG.2200.2,JUN,ENST00000371222
MSTRG.22189.4,TMEM255B,ENST00000375353
MSTRG.22289.33,MCF2L,ENST00000375604
MSTRG.22323.6,RNASE1,ENST00000340900
MSTRG.22333.3,APEX1,ENST00000216714
MSTRG.22358.12,HNRNPC,ENST00000554969
MSTRG.22358.29,HNRNPC,ENST00000553753
MSTRG.22358.39,HNRNPC,ENST00000554969
MSTRG.22358.40,HNRNPC,ENST00000554969
MSTRG.22358.46,HNRNPC,ENST00000336053
MSTRG.22360.2,NDRG2,ENST00000397856
MSTRG.22424.107,TRAC,ENST00000611116
MSTRG.22424.133,TRAC,ENST00000611116
MSTRG.22424.38,TRAC,ENST00000611116
MSTRG.22465.7,SUPT16H,ENST00000216297
MSTRG.22472.4,LRP10,ENST00000546834
MSTRG.22472.5,LRP10,ENST00000359591
MSTRG.22472.7,LRP10,ENST00000359591
MSTRG.22479.11,OXA1L,ENST00000285848
MSTRG.22482.28,MMP14,ENST00000311852
MSTRG.22482.30,MMP14,ENST00000311852
MSTRG.22554.55,DHRS2,ENST00000250383
MSTRG.22560.17,NFATC4,ENST00000554050
MSTRG.22789.72,KIAA0391,ENST00000250377
MSTRG.22800.2,BRMS1L,ENST00000552677
MSTRG.2296.2,PGM1,ENST00000371084
MSTRG.23072.15,PSME1,ENST00000206451
MSTRG.23072.18,PSME1,ENST00000206451
MSTRG.23072.19,PSME1,ENST00000206451
MSTRG.23072.21,PSME1,ENST00000206451
MSTRG.23072.23,PSME1,ENST00000206451
MSTRG.23072.28,PSME1,ENST00000206451
MSTRG.23085.5,NOP9,ENST00000267425
MSTRG.23096.12,TRAPPC6B,ENST00000330149
MSTRG.23096.3,TRAPPC6B,ENST00000330149
MSTRG.23301.1,PSMC6,ENST00000445930
MSTRG.23301.21,PSMC6,ENST00000445930
MSTRG.23301.22,PSMC6,ENST00000445930
MSTRG.23301.23,PSMC6,ENST00000445930
MSTRG.23301.34,PSMC6,ENST00000445930
MSTRG.23301.9,PSMC6,ENST00000445930
MSTRG.23476.4,AP5M1,ENST00000261558
MSTRG.23550.19,PCNX4,ENST00000317623
MSTRG.23550.8,PCNX4,ENST00000317623
MSTRG.23593.17,KIAA0586,ENST00000619416
MSTRG.23674.5,HSPA2,ENST00000247207
MSTRG.2369.2,SLC35D1,ENST00000235345
MSTRG.2369.3,SLC35D1,ENST00000235345
MSTRG.23721.46,PLEKHG3,ENST00000247226
MSTRG.23757.12,EIF2S1,ENST00000256383
MSTRG.23757.13,EIF2S1,ENST00000256383
MSTRG.23821.4,ERH,ENST00000557016
MSTRG.23896.34,DCAF4,ENST00000353777
MSTRG.23962.8,DLST,ENST00000334220
MSTRG.23994.10,FOS,ENST00000303562
MSTRG.240.22,KCNAB2,ENST00000341524
MSTRG.24002.30,JDP2,ENST00000267569
MSTRG.24031.7,FCF1,ENST00000341162
MSTRG.24354.12,CALM1,ENST00000356978
MSTRG.24354.15,CALM1,ENST00000356978
MSTRG.24359.1,TTC7B,ENST00000328459
MSTRG.24359.12,TTC7B,ENST00000328459
MSTRG.24359.13,TTC7B,ENST00000328459
MSTRG.24359.18,TTC7B,ENST00000328459
MSTRG.24359.20,TTC7B,ENST00000328459
MSTRG.24359.24,TTC7B,ENST00000328459
MSTRG.24359.4,TTC7B,ENST00000328459
MSTRG.24359.5,TTC7B,ENST00000328459
MSTRG.24359.6,TTC7B,ENST00000328459
MSTRG.24359.7,TTC7B,ENST00000328459
MSTRG.24375.2,CPSF2,ENST00000298875
MSTRG.24417.3,CATSPERB,ENST00000256343
MSTRG.24424.1,TRIP11,ENST00000267622
MSTRG.24424.12,TRIP11,ENST00000267622
MSTRG.24424.18,TRIP11,ENST00000267622
MSTRG.24424.30,TRIP11,ENST00000267622
MSTRG.24424.5,TRIP11,ENST00000267622
MSTRG.24424.6,TRIP11,ENST00000267622
MSTRG.24620.14,EVL,ENST00000402714
MSTRG.24774.1,HSP90AA1,ENST00000216281
MSTRG.24774.7,HSP90AA1,ENST00000334701
MSTRG.24785.3,CINP,ENST00000216756
MSTRG.24788.1,ANKRD9,ENST00000286918
MSTRG.24788.2,ANKRD9,ENST00000286918
MSTRG.24788.5,ANKRD9,ENST00000286918
MSTRG.24834.14,TRMT61A,ENST00000389749
MSTRG.24834.5,TRMT61A,ENST00000389749
MSTRG.24883.34,KLC1,ENST00000348520
MSTRG.24883.46,KLC1,ENST00000348520
MSTRG.24883.55,KLC1,ENST00000348520
MSTRG.24883.57,KLC1,ENST00000348520
MSTRG.24883.65,KLC1,ENST00000348520
MSTRG.24883.72,KLC1,ENST00000348520
MSTRG.24883.75,KLC1,ENST00000348520
MSTRG.24883.86,KLC1,ENST00000348520
MSTRG.24885.39,XRCC3,ENST00000555055
MSTRG.24948.18,CRIP1,ENST00000330233
MSTRG.25530.1,ZNF770,ENST00000356321
MSTRG.25716.11,SNURF,ENST00000338327
MSTRG.25716.20,SNURF,ENST00000338327
MSTRG.2575.3,ST6GALNAC3,ENST00000328299
MSTRG.26020.4,WDR76,ENST00000263795
MSTRG.26022.4,FRMD5,ENST00000417257
MSTRG.26040.11,B2M,ENST00000558401
MSTRG.26040.2,B2M,ENST00000558401
MSTRG.26040.3,B2M,ENST00000558401
MSTRG.26040.4,B2M,ENST00000558401
MSTRG.26040.6,B2M,ENST00000558401
