transcript,gene
ENST00000284259,TBCEL
ENST00000284290,TBRG1
ENST00000284292,NRGN
ENST00000284376,CC2D1B
ENST00000284384,PRKCA
ENST00000284602,PPP1R3A
ENST00000285124,PPP4R1
ENST00000285238,ABCC3
ENST00000285398,ERCC3
ENST00000285518,AGPAT5
ENST00000285599,MAN2B2
ENST00000285605,MARVELD1
ENST00000285930,AKR1B1
ENST00000285949,CYP26C1
ENST00000286070,RBM45
ENST00000286181,FAM126B
ENST00000286196,TMEM237
ENST00000286452,KIF5A
ENST00000286648,DCK
ENST00000286733,NAAA
ENST00000286794,NAA11
ENST00000286824,TSPAN7
ENST00000287038,RPL30
ENST00000287202,CELF6
ENST00000287387,WDYHV1
ENST00000287652,TATDN2
ENST00000287771,RBPMS
ENST00000288221,ERC2
ENST00000288344,HMGN1
ENST00000288398,TPM1
ENST00000288599,NCOA1
ENST00000288642,DTNB
ENST00000288723,RAB28
ENST00000288774,PEX10
ENST00000288873,KRTCAP3
ENST00000289292,SHROOM4
ENST00000289316,HIST1H2BD
ENST00000289528,ZFAND2B
ENST00000289734,ANK1
ENST00000289779,RP11-544M22.13
ENST00000290075,SLC25A37
ENST00000290101,RAP1GAP
ENST00000290155,C21orf59
ENST00000290330,SNF8
ENST00000290419,PPP1R12B
ENST00000290497,PLA2G4F
ENST00000290567,CES5A
ENST00000290583,CELF3
ENST00000290585,CELF3
ENST00000290597,ALDH4A1
ENST00000290855,CLEC2D
ENST00000290949,ATP6V0D1
ENST00000291300,HIF3A
ENST00000291440,CPAMD8
ENST00000291535,UBASH3A
ENST00000291670,FTCD
ENST00000291842,SHKBP1
ENST00000291892,RDH13
ENST00000292079,FXYD2
ENST00000292114,TMEM199
ENST00000292144,CD3G
ENST00000292147,ETHE1
ENST00000292327,MYL3
ENST00000292586,C5orf45
ENST00000292672,CELF5
ENST00000293068,IKZF3
ENST00000293195,FDXR
ENST00000293208,SAP30BP
ENST00000293217,ACOX1
ENST00000293748,SYNGAP1
ENST00000293760,LEMD2
ENST00000293778,CXCL16
ENST00000293872,LUC7L
ENST00000293968,CCNF
ENST00000294161,TTC9C
ENST00000294172,NXF1
ENST00000294613,TM2D1
ENST00000294623,FUBP1
ENST00000294737,DENND1B
ENST00000294854,RGSL1
ENST00000294997,CR1L
ENST00000295031,KIAA1841
ENST00000295051,DISC1
ENST00000295055,CAPN13
ENST00000295083,PQLC3
ENST00000295131,ZSWIM2
ENST00000295181,ANKRD30BL
ENST00000295220,CFAP221
ENST00000295237,XIRP2
ENST00000295246,ANKRD36C
ENST00000295470,HNRNPDL
ENST00000295530,FLAD1
ENST00000295864,GTPBP8
ENST00000295896,C3orf49
ENST00000295897,ALB
ENST00000295898,C4orf36
ENST00000295903,ADAMTS9
ENST00000295955,RPL9
ENST00000295984,PRRT3
ENST00000296015,TTC14
ENST00000296097,DNAJC5G
ENST00000296098,TRIM54
ENST00000296326,ZDHHC19
ENST00000296402,CAMK2D
ENST00000296414,DAPP1
ENST00000296420,EMCN
ENST00000296444,SHISA5
ENST00000296452,BSN
ENST00000296479,GRM2
ENST00000296511,ANXA5
ENST00000296526,GRIA2
ENST00000296577,ABCE1
ENST00000296595,TMEM161B
ENST00000296933,FBXW11
ENST00000297164,RELL2
ENST00000297564,COX6C
ENST00000297623,C9orf24
ENST00000297788,CCDC136
ENST00000297857,ZHX1
ENST00000297979,C9orf3
ENST00000297994,TRMT10B
ENST00000298173,GTF2A1
ENST00000298181,SSX7
ENST00000298260,SKA3
ENST00000298307,KLHDC2
ENST00000298396,SSX3
ENST00000298532,SNAPC4
ENST00000298566,BCL2L14
ENST00000298622,JAKMIP3
ENST00000298694,ARHGEF40
ENST00000298923,SLC6A5
ENST00000298972,KCNC2
ENST00000299135,WDR20
ENST00000299138,VPS35
ENST00000299140,SPATA19
ENST00000299166,NDUFB8
ENST00000299185,DEPDC4
ENST00000299275,PLEKHA5
ENST00000299320,C16orf71
ENST00000299333,SCN3B
ENST00000299353,BORCS7-ASMT
ENST00000299367,C2
ENST00000299572,CENPN
ENST00000299596,TMEM41B
ENST00000299663,CLEC4E
ENST00000299698,A2ML1
ENST00000299714,SEC11C
ENST00000299840,VWA3A
ENST00000299866,TVP23A
ENST00000299882,TMPRSS5
ENST00000299957,CASC4
ENST00000300051,LDHD
ENST00000300069,RBPMS2
ENST00000300079,GLYATL1
ENST00000300093,PLK1
ENST00000300182,MS4A6E
ENST00000300260,C21orf59
ENST00000300589,NOD2
ENST00000300682,ENGASE
ENST00000300862,HIF3A
ENST00000300917,SMG8
ENST00000301012,MVD
ENST00000301021,TRAPPC2L
ENST00000301031,SPATA33
ENST00000301043,RAB34
ENST00000301159,LIN37
ENST00000301194,TTYH1
ENST00000301323,RECQL4
ENST00000301324,FAM57A
ENST00000301328,GLOD4
ENST00000301329,GLOD4
ENST00000301488,CDK2AP2
ENST00000301573,CD300LF
ENST00000301608,ACOX1
ENST00000301633,BIRC5
ENST00000301770,VWCE
ENST00000301781,BSCL2
ENST00000301788,POLR2G
ENST00000301886,ARL2-SNX15
ENST00000301896,MAJIN
ENST00000301908,PNOC
ENST00000301938,FBXW10
ENST00000302243,DDX19A
ENST00000302313,WDR48
ENST00000302342,ZNF217
ENST00000302351,ENC1
ENST00000302373,MPHOSPH9
ENST00000302418,KIF5B
ENST00000302422,TMEM256
ENST00000302804,AURKC
ENST00000302851,ZNF561
ENST00000302964,PYDC1
ENST00000302995,ZBTB46
ENST00000303015,KCNK9
ENST00000303113,DONSON
ENST00000303400,MAEA
ENST00000303415,SIRPG
ENST00000303459,METTL15
ENST00000303536,ACYP2
ENST00000303569,CRTC2
ENST00000303697,DCDC1
ENST00000303790,KCNAB3
ENST00000303996,JMJD6
ENST00000304045,KLK7
ENST00000304283,ANKS3
ENST00000304330,RPAP1
ENST00000304430,NUDT6
ENST00000304494,CDKN2A
ENST00000304734,RPL7L1
ENST00000304775,DCC
ENST00000304800,TMEM208
ENST00000304834,HN1
ENST00000304842,TPST1
ENST00000304954,CSN3
ENST00000304979,PPIH
ENST00000305108,NINJ2
ENST00000305119,MUC12
ENST00000305123,IRS1
ENST00000305233,PWWP2B
ENST00000305366,TM4SF1
ENST00000305479,WFDC13
ENST00000305560,SPATA5L1
ENST00000305762,CAMK2G
ENST00000305850,CENPN
ENST00000305852,FEZ2
ENST00000305864,EMCN
ENST00000305879,GTSF1
ENST00000306042,PTPRE
ENST00000306049,TEFM
ENST00000306107,ALCAM
ENST00000306177,USP42
ENST00000306262,ST3GAL5
ENST00000306322,PSG11
ENST00000306336,C2orf68
ENST00000306389,DPY19L2
ENST00000306450,ARMC10
ENST00000306465,PIGF
ENST00000306793,GFRA2
ENST00000306875,COG8
ENST00000307089,NSUN4
ENST00000307180,TSNARE1
ENST00000307236,E2F6
ENST00000307364,SLC26A6
ENST00000307403,RBM33
ENST00000307465,CDKL2
ENST00000307507,FAM161A
ENST00000307633,HARS
ENST00000307658,ZNF17
ENST00000307834,NABP1
ENST00000307849,NABP1
ENST00000307897,ZWILCH
ENST00000308074,SLC37A2
ENST00000308077,PTCD2
ENST00000308095,ZNF80
ENST00000308110,MUS81
ENST00000308158,PHYKPL
ENST00000308214,IQCK
ENST00000308259,MSRB3
ENST00000308275,FBXO22
ENST00000308278,FAM57A
ENST00000308378,WDR49
ENST00000308466,MUC4
ENST00000308475,DUSP13
ENST00000308696,PSMD1
ENST00000308768,KCTD13
ENST00000308799,FBXW10
ENST00000308811,ZNF596
ENST00000308982,ACAD9
ENST00000309190,CAST
ENST00000309309,ATP6V1G3
ENST00000309422,VEGFB
ENST00000309428,FAM134C
ENST00000309579,USMG5
ENST00000309641,PDE4D
ENST00000309660,PTPN2
ENST00000309739,RND1
ENST00000309794,NARF
ENST00000309859,GGA2
ENST00000309877,IRF3
ENST00000310046,RBM4B
ENST00000310092,RBM4
ENST00000310118,PSMD2
ENST00000310256,ARV1
ENST00000310397,SNED1
ENST00000310513,CELF1
ENST00000310706,JUP
ENST00000310795,MAPK14
ENST00000310816,MAPK10
ENST00000310842,POMZP3
ENST00000310850,DTD2
ENST00000310862,SLC25A30
ENST00000310991,TMEM52
ENST00000310998,TTLL9
ENST00000311014,DNAI2
ENST00000311086,BOD1
ENST00000311101,PARL
ENST00000311161,SLC29A2
ENST00000311189,HRAS
ENST00000311212,ZNF706
ENST00000311278,AKT2
ENST00000311420,MDM2
ENST00000311489,IMPA1
ENST00000311507,PLAC8
ENST00000311604,LSP1
ENST00000311669,ADPGK
ENST00000311713,WDR74
ENST00000311798,SSX5
ENST00000311841,RP11-446E24.4
ENST00000311864,FAM71D
ENST00000311873,ZC3HC1
ENST00000311943,SCFD1
ENST00000312087,WHSC1
ENST00000312108,CPT1B
ENST00000312265,CATSPERG
ENST00000312481,COL6A5
ENST00000312527,B3GAT1
ENST00000312553,PODN
ENST00000312912,KDM3A
ENST00000312990,CDK4
ENST00000313115,ATOX1
ENST00000313117,SRSF7
ENST00000313182,VWA9
ENST00000313219,CHMP7
ENST00000313294,TERB1
ENST00000313386,RMND5B
ENST00000313468,NDUFS8
ENST00000313486,PITPNA
ENST00000313552,ING5
ENST00000313599,CD163L1
ENST00000313601,GNAI2
ENST00000313843,STX4
ENST00000313863,MKS1
ENST00000313899,HNRNPD
ENST00000313949,GNAS
ENST00000314014,C12orf54
ENST00000314088,HIST1H2AC
ENST00000314117,RELL1
ENST00000314126,AKAP1
ENST00000314146,ASAH1
ENST00000314177,MEIS2
ENST00000314214,ANK1
ENST00000314222,PHLDA2
ENST00000314262,NOP14
ENST00000314332,HIST1H2BC
ENST00000314367,CBWD1
ENST00000314393,ZHX2
ENST00000314400,NEPRO
ENST00000314485,IGSF8
ENST00000314534,IQCF1
ENST00000314673,SNX14
ENST00000314756,TTC12
ENST00000314759,SKA3
ENST00000314797,COPG1
ENST00000314833,PLD5
ENST00000315212,RNASEH1
ENST00000315357,DAZ3
ENST00000315585,CHFR
ENST00000315596,PDS5B
ENST00000315601,RP11-542C16.2
ENST00000315872,ROCK2
ENST00000315901,RBP7
ENST00000316077,MAP7D3
ENST00000316087,SPATA9
ENST00000316144,LCN15
ENST00000316227,PRIMA1
ENST00000316528,MYB
ENST00000316577,TESPA1
ENST00000316634,SNAPC5
ENST00000316763,VRK3
ENST00000316843,LLGL1
ENST00000316848,FAM63B
ENST00000316937,C7orf43
ENST00000316997,RBM44
ENST00000317091,CES2
ENST00000317096,PARL
ENST00000317198,EEF1D
ENST00000317251,MPPE1
ENST00000317256,SEPT4
ENST00000317357,SOBP
ENST00000317398,ZNF671
ENST00000317593,S100Z
ENST00000317620,PROM2
ENST00000317627,C2orf73
ENST00000317668,PROM2
ENST00000317935,MYO3B
ENST00000317987,FDCSP
ENST00000317995,CA8
ENST00000318063,MICU3
ENST00000318080,CRAT
ENST00000318110,ZNF101
ENST00000318197,PLCZ1
ENST00000318220,NBPF3
ENST00000318315,C5orf46
ENST00000318504,ZNF185
ENST00000318529,ZNF185
ENST00000318561,SFTPC
ENST00000318562,EPS8L2
ENST00000318602,A2M
ENST00000318607,PABPC1
ENST00000318622,RHBDD2
ENST00000318673,RP11-33O4.2
ENST00000318787,HDDC2
ENST00000318801,SYNGR1
ENST00000318803,ST6GALNAC5
ENST00000318974,PTPN6
ENST00000318991,GRIK2
ENST00000319018,TMEM184A
ENST00000319023,NADSYN1
ENST00000319073,RNF170
ENST00000319165,CES5A
ENST00000319294,UBASH3A
ENST00000319338,IGSF22
ENST00000319416,TEX35
ENST00000319670,ARHGEF18
ENST00000319688,KIDINS220
ENST00000319756,KLK11
ENST00000319801,PUM2
ENST00000319863,PDDC1
ENST00000320017,SCAP
ENST00000320031,ITGA3
ENST00000320078,PSG11
ENST00000320122,LMO3
ENST00000320153,DDI2
ENST00000320185,FGF8
ENST00000320203,RBPMS
ENST00000320220,ZDHHC20
ENST00000320370,SSFA2
ENST00000320399,ELN
ENST00000320492,ELN
ENST00000320585,CHORDC1
ENST00000320619,ZNRF1
ENST00000320816,DAB2
ENST00000320848,MRFAP1L1
ENST00000320865,B3GNTL1
ENST00000320912,MRFAP1
ENST00000320936,CIRBP
ENST00000320982,SEC14L4
ENST00000321023,VWF
ENST00000321027,GCFC2
ENST00000321046,NR1H4
ENST00000321205,SEC14L4
ENST00000321297,ATG16L2
ENST00000321326,TMEM214
ENST00000321358,YBX1
