Length	transcript_id
33	MSTRG.13021.2
31	MSTRG.13021.5
63	MSTRG.13021.6
33	MSTRG.13021.7
63	MSTRG.13021.8
33	MSTRG.13039.11
141	MSTRG.13050.134
29	MSTRG.1308.15
5327	MSTRG.13103.1
395	MSTRG.13112.5
82	MSTRG.13125.37
36	MSTRG.13130.10
26	MSTRG.13158.1
91	MSTRG.13163.1
857	MSTRG.13184.3
1185	MSTRG.13184.5
540	MSTRG.13184.6
22	MSTRG.13184.7
1228	MSTRG.13242.3
75	MSTRG.13248.3
28	MSTRG.13248.7
285	MSTRG.13263.5
42	MSTRG.13269.6
33	MSTRG.13283.3
25	MSTRG.13307.43
44	MSTRG.13311.23
122	MSTRG.13311.28
643	MSTRG.13322.1
643	MSTRG.13322.6
22	MSTRG.13322.9
97	MSTRG.13324.14
97	MSTRG.13324.19
329	MSTRG.13325.15
537	MSTRG.13325.16
84	MSTRG.13379.9
70	MSTRG.13390.7
134	MSTRG.13555.10
27	MSTRG.13555.13
41	MSTRG.13555.14
63	MSTRG.13555.15
47	MSTRG.13555.16
43	MSTRG.13555.19
33	MSTRG.13555.2
563	MSTRG.13555.20
50	MSTRG.13555.21
50	MSTRG.13555.22
50	MSTRG.13555.23
63	MSTRG.13555.24
46	MSTRG.13555.29
24	MSTRG.13555.3
35	MSTRG.13555.30
849	MSTRG.13555.32
24	MSTRG.13555.4
48	MSTRG.13555.5
60	MSTRG.13555.8
835	MSTRG.13555.9
36	MSTRG.13624.5
286	MSTRG.13624.7
110	MSTRG.13728.5
285	MSTRG.13728.6
95	MSTRG.13728.7
873	MSTRG.1373.4
29	MSTRG.1373.9
88	MSTRG.1384.2
51	MSTRG.13864.1
166	MSTRG.13864.11
22	MSTRG.13864.14
49	MSTRG.13864.16
51	MSTRG.13864.18
51	MSTRG.13864.24
24	MSTRG.13864.3
32	MSTRG.13923.6
27	MSTRG.13938.7
22	MSTRG.13956.8
880	MSTRG.1400.6
28	MSTRG.1411.15
917	MSTRG.14253.2
54	MSTRG.14259.29
262	MSTRG.14290.12
262	MSTRG.14290.5
1627	MSTRG.14402.1
472	MSTRG.14417.1
97	MSTRG.14417.2
1441	MSTRG.1447.2
111	MSTRG.1452.4
26	MSTRG.14665.10
26	MSTRG.14665.16
51	MSTRG.14665.17
26	MSTRG.14665.18
140	MSTRG.1468.18
140	MSTRG.1468.24
64	MSTRG.1468.26
140	MSTRG.1468.27
467	MSTRG.1468.30
109	MSTRG.1468.31
100	MSTRG.1468.32
196	MSTRG.1468.33
140	MSTRG.1468.34
31	MSTRG.1468.36
100	MSTRG.1468.37
28	MSTRG.14836.1
147	MSTRG.1508.7
38	MSTRG.15142.5
1492	MSTRG.15158.22
83	MSTRG.15162.1
83	MSTRG.15162.3
235	MSTRG.15170.5
241	MSTRG.15170.8
22	MSTRG.15188.2
24	MSTRG.1519.13
73	MSTRG.15198.5
59	MSTRG.15198.7
32	MSTRG.15284.3
463	MSTRG.15295.15
1149	MSTRG.15348.4
46	MSTRG.1555.15
1494	MSTRG.15584.10
1494	MSTRG.15584.15
826	MSTRG.15584.18
826	MSTRG.15584.21
826	MSTRG.15584.22
826	MSTRG.15584.23
1494	MSTRG.15584.9
135	MSTRG.1562.11
23	MSTRG.15804.10
260	MSTRG.15804.11
39	MSTRG.15804.8
77	MSTRG.15806.15
24	MSTRG.15806.19
36	MSTRG.15810.19
139	MSTRG.15859.49
196	MSTRG.15951.33
22	MSTRG.15955.13
77	MSTRG.16002.10
156	MSTRG.16002.13
15350	MSTRG.16012.9
22	MSTRG.16023.41
23	MSTRG.16023.59
134	MSTRG.16092.6
62	MSTRG.16180.4
22	MSTRG.16180.6
59	MSTRG.16213.2
637	MSTRG.16225.2
108	MSTRG.16225.4
472	MSTRG.16225.5
26	MSTRG.16231.15
311	MSTRG.16422.4
127	MSTRG.16423.3
939	MSTRG.16468.5
47	MSTRG.1648.25
26	MSTRG.1648.3
22100	MSTRG.16572.21
622	MSTRG.16640.1
101	MSTRG.16640.8
135	MSTRG.16706.15
29	MSTRG.1674.7
51	MSTRG.16973.7
832	MSTRG.170.10
91	MSTRG.1707.32
33	MSTRG.17108.27
108	MSTRG.17151.27
48	MSTRG.17151.31
56	MSTRG.17151.33
169	MSTRG.17205.13
50	MSTRG.17205.41
28	MSTRG.17230.49
50	MSTRG.17240.1
162	MSTRG.17240.2
75	MSTRG.17240.4
38	MSTRG.17240.6
57	MSTRG.17240.9
42	MSTRG.17247.5
2935	MSTRG.17389.3
221	MSTRG.17443.10
44	MSTRG.17443.13
53	MSTRG.17443.14
51	MSTRG.17443.9
31	MSTRG.17490.5
38	MSTRG.17490.6
2235	MSTRG.17510.1
35	MSTRG.17517.14
246	MSTRG.17533.6
31	MSTRG.17539.6
318	MSTRG.17540.3
323	MSTRG.17540.4
143	MSTRG.17540.7
37	MSTRG.17619.115
40	MSTRG.17619.133
539	MSTRG.17619.79
62	MSTRG.17619.81
539	MSTRG.17619.91
26	MSTRG.17787.4
4581	MSTRG.17818.4
320	MSTRG.17829.1
26064	MSTRG.17833.1
33	MSTRG.17947.8
80	MSTRG.18034.1
1614	MSTRG.18060.6
61	MSTRG.18100.15
730	MSTRG.18170.6
23	MSTRG.18387.4
1437	MSTRG.18416.22
33	MSTRG.18474.4
4010	MSTRG.1862.1
27	MSTRG.18650.1
529	MSTRG.18650.3
82	MSTRG.18722.11
68	MSTRG.18722.12
30	MSTRG.18781.26
57	MSTRG.18783.8
143	MSTRG.18833.5
1102	MSTRG.18983.1
44	MSTRG.18988.29
36	MSTRG.18988.31
54	MSTRG.18988.34
34	MSTRG.18988.36
65	MSTRG.18988.37
22	MSTRG.18988.38
8242	MSTRG.18999.16
50	MSTRG.19013.11
43	MSTRG.19013.13
51	MSTRG.19039.51
279	MSTRG.19192.3
227	MSTRG.1926.26
2392	MSTRG.1930.1
58	MSTRG.1935.4
114	MSTRG.1935.9
47	MSTRG.19367.29
37	MSTRG.19373.5
43	MSTRG.19373.7
26	MSTRG.19449.31
43	MSTRG.19451.22
101	MSTRG.19451.25
41	MSTRG.19451.3
139	MSTRG.19451.7
5012	MSTRG.19463.2
73	MSTRG.19473.5
197	MSTRG.19482.3
286	MSTRG.19482.9
56	MSTRG.19483.2
676	MSTRG.1953.2
236	MSTRG.1963.5
30	MSTRG.1963.7
92	MSTRG.1963.9
41	MSTRG.19694.12
22	MSTRG.19694.3
640	MSTRG.19768.8
2550	MSTRG.19783.9
23	MSTRG.19955.20
154	MSTRG.20082.10
271	MSTRG.20082.3
45	MSTRG.20249.14
38	MSTRG.20249.6
43	MSTRG.20432.3
454	MSTRG.20651.5
27	MSTRG.20694.3
28	MSTRG.20694.5
38	MSTRG.20812.9
56	MSTRG.2086.4
25	MSTRG.20866.17
35	MSTRG.20866.18
3159	MSTRG.20886.4
23	MSTRG.20943.2
49	MSTRG.21234.12
43	MSTRG.21234.5
159	MSTRG.2145.11
4111	MSTRG.21512.5
3831	MSTRG.21644.1
3828	MSTRG.21644.13
3828	MSTRG.21644.4
23	MSTRG.2200.2
252	MSTRG.22189.4
95	MSTRG.22289.33
31	MSTRG.22323.6
32	MSTRG.22333.3
51	MSTRG.22358.12
51	MSTRG.22358.29
51	MSTRG.22358.39
230	MSTRG.22358.40
51	MSTRG.22358.46
36	MSTRG.22360.2
81	MSTRG.22424.107
81	MSTRG.22424.133
48	MSTRG.22424.38
22	MSTRG.22465.7
100	MSTRG.22472.4
94	MSTRG.22472.5
47	MSTRG.22472.7
90	MSTRG.22479.11
88	MSTRG.22482.28
24	MSTRG.22482.30
25	MSTRG.22554.55
157	MSTRG.22560.17
2794	MSTRG.22789.72
43	MSTRG.22800.2
48	MSTRG.2296.2
32	MSTRG.23072.15
33	MSTRG.23072.18
30	MSTRG.23072.19
27	MSTRG.23072.21
29	MSTRG.23072.23
33	MSTRG.23072.28
621	MSTRG.23085.5
177	MSTRG.23096.12
177	MSTRG.23096.3
3463	MSTRG.23301.1
3463	MSTRG.23301.21
3463	MSTRG.23301.22
3463	MSTRG.23301.23
3463	MSTRG.23301.34
3463	MSTRG.23301.9
3147	MSTRG.23476.4
2091	MSTRG.23550.19
3253	MSTRG.23550.8
729	MSTRG.23593.17
1617	MSTRG.23674.5
298	MSTRG.2369.2
90	MSTRG.2369.3
744	MSTRG.23721.46
23	MSTRG.23757.12
55	MSTRG.23757.13
46	MSTRG.23821.4
2120	MSTRG.23896.34
866	MSTRG.23962.8
25	MSTRG.23994.10
41	MSTRG.240.22
127	MSTRG.24002.30
324	MSTRG.24031.7
71	MSTRG.24354.12
67	MSTRG.24354.15
4827	MSTRG.24359.1
4827	MSTRG.24359.12
4827	MSTRG.24359.13
2787	MSTRG.24359.18
4827	MSTRG.24359.20
4827	MSTRG.24359.24
4827	MSTRG.24359.4
5595	MSTRG.24359.5
353	MSTRG.24359.6
9546	MSTRG.24359.7
3807	MSTRG.24375.2
6095	MSTRG.24417.3
2824	MSTRG.24424.1
2824	MSTRG.24424.12
2824	MSTRG.24424.18
2416	MSTRG.24424.30
2824	MSTRG.24424.5
2824	MSTRG.24424.6
93	MSTRG.24620.14
37	MSTRG.24774.1
80	MSTRG.24774.7
27	MSTRG.24785.3
4798	MSTRG.24788.1
4798	MSTRG.24788.2
41	MSTRG.24788.5
71	MSTRG.24834.14
49	MSTRG.24834.5
253	MSTRG.24883.34
9252	MSTRG.24883.46
3416	MSTRG.24883.55
5077	MSTRG.24883.57
739	MSTRG.24883.65
1912	MSTRG.24883.72
253	MSTRG.24883.75
5077	MSTRG.24883.86
53	MSTRG.24885.39
26	MSTRG.24948.18
202	MSTRG.25530.1
683	MSTRG.25716.11
721	MSTRG.25716.20
2999	MSTRG.2575.3
113	MSTRG.26020.4
351	MSTRG.26022.4
32	MSTRG.26040.11
75	MSTRG.26040.2
44	MSTRG.26040.3
53	MSTRG.26040.4
74	MSTRG.26040.6
39	MSTRG.26040.7
139	MSTRG.26040.8
104	MSTRG.26149.2
28	MSTRG.26180.84
25	MSTRG.26199.14
86	MSTRG.26199.5
40	MSTRG.26203.4
23	MSTRG.26300.22
87	MSTRG.26324.14
55	MSTRG.26364.1
23	MSTRG.26612.9
47	MSTRG.26617.3
23	MSTRG.26617.5
88	MSTRG.26617.6
99	MSTRG.26624.12
343	MSTRG.26664.4
34	MSTRG.26711.14
92	MSTRG.26711.9
141	MSTRG.26748.3
268	MSTRG.26785.12
271	MSTRG.26785.6
3028	MSTRG.26788.10
5945	MSTRG.26888.2
25	MSTRG.26929.7
97	MSTRG.27013.9
37	MSTRG.27033.31
5996	MSTRG.27083.47
1581	MSTRG.27083.48
55	MSTRG.27099.1
69	MSTRG.27099.3
2755	MSTRG.27127.11
788	MSTRG.27172.11
118	MSTRG.27182.4
24	MSTRG.27182.5
2942	MSTRG.27323.42
208	MSTRG.27323.43
287	MSTRG.27323.44
5814	MSTRG.27323.45
2290	MSTRG.27323.46
2377	MSTRG.27323.47
2942	MSTRG.27323.48
6632	MSTRG.27323.51
2140	MSTRG.27323.52
167	MSTRG.27368.10
28	MSTRG.27368.11
23	MSTRG.27368.13
167	MSTRG.27368.15
36	MSTRG.27368.7
44	MSTRG.27368.9
711	MSTRG.27454.21
44	MSTRG.27454.42
50	MSTRG.27454.51
90	MSTRG.27460.6
76	MSTRG.27460.7
6526	MSTRG.27531.2
30	MSTRG.27531.22
31	MSTRG.27539.4
54	MSTRG.276.13
487	MSTRG.27779.2
23	MSTRG.27899.3
59	MSTRG.27921.9
40	MSTRG.27969.13
25	MSTRG.27969.18
89	MSTRG.27969.20
29	MSTRG.27969.22
29	MSTRG.27969.5
52	MSTRG.27969.7
194	MSTRG.27994.117
25	MSTRG.28012.7
650	MSTRG.28036.10
97	MSTRG.28039.2
62	MSTRG.28043.10
54	MSTRG.28050.21
46	MSTRG.28089.38
94	MSTRG.28105.4
114	MSTRG.28138.30
108	MSTRG.28198.25
108	MSTRG.28198.26
108	MSTRG.28198.29
108	MSTRG.28198.46
142	MSTRG.28198.47
804	MSTRG.28198.5
555	MSTRG.28198.53
108	MSTRG.28198.66
555	MSTRG.28198.68
108	MSTRG.28198.76
24	MSTRG.28232.14
75	MSTRG.28232.15
112	MSTRG.28232.30
89	MSTRG.28232.31
46	MSTRG.28232.37
112	MSTRG.28232.5
29	MSTRG.28232.7
46	MSTRG.28239.11
97	MSTRG.28239.2
97	MSTRG.28239.7
70	MSTRG.28405.3
60	MSTRG.28493.3
34	MSTRG.28623.10
237	MSTRG.28629.25
438	MSTRG.28710.3
844	MSTRG.28730.10
38	MSTRG.28740.37
43	MSTRG.28784.44
184	MSTRG.28839.2
123	MSTRG.28960.4
2079	MSTRG.28981.12
72	MSTRG.28981.17
72	MSTRG.28981.6
72	MSTRG.28981.9
113	MSTRG.29013.1
66	MSTRG.29082.12
88	MSTRG.29082.13
7353	MSTRG.29104.31
1160	MSTRG.29104.32
338	MSTRG.29104.34
4140	MSTRG.29104.39
3103	MSTRG.29104.44
993	MSTRG.29104.45
77	MSTRG.29131.18
310	MSTRG.29131.21
77	MSTRG.29131.25
1385	MSTRG.29402.1
33	MSTRG.29436.7
89	MSTRG.29691.2
338	MSTRG.29698.26
100	MSTRG.29746.1
497	MSTRG.29770.15
25	MSTRG.2990.2
32	MSTRG.30066.4
143	MSTRG.30094.13
50	MSTRG.30094.24
29	MSTRG.30094.25
162	MSTRG.30143.3
25	MSTRG.30167.49
33	MSTRG.30275.13
82	MSTRG.30275.6
38	MSTRG.30275.7
362	MSTRG.30300.10
1620	MSTRG.30300.17
3823	MSTRG.30305.14
3823	MSTRG.30305.22
3124	MSTRG.30467.3
3599	MSTRG.30496.14
23	MSTRG.30513.10
1224	MSTRG.30513.12
53	MSTRG.30513.13
1996	MSTRG.30513.14
24	MSTRG.30513.15
25	MSTRG.30513.16
44	MSTRG.30513.17
42	MSTRG.30513.19
1996	MSTRG.30513.20
48	MSTRG.30513.21
1118	MSTRG.30513.22
41	MSTRG.30513.4
25	MSTRG.30513.5
1209	MSTRG.30513.7
1996	MSTRG.30513.9
45	MSTRG.30554.13
87	MSTRG.30569.36
40	MSTRG.30574.26
773	MSTRG.30710.14
207	MSTRG.30723.6
71	MSTRG.30804.1
192	MSTRG.30825.11
91	MSTRG.30897.48
91	MSTRG.30897.57
2400	MSTRG.30927.6
163	MSTRG.30932.6
23	MSTRG.30933.51
178	MSTRG.30951.1
33	MSTRG.30952.102
76	MSTRG.30952.103
30	MSTRG.30952.105
24	MSTRG.30952.106
22	MSTRG.30952.107
31	MSTRG.30952.89
33	MSTRG.30952.93
31	MSTRG.30952.97
368	MSTRG.30984.29
34	MSTRG.31010.43
4537	MSTRG.31044.2
33	MSTRG.31044.26
124	MSTRG.31044.28
4537	MSTRG.31044.3
33	MSTRG.31044.33
103	MSTRG.31044.37
78	MSTRG.31065.10
40	MSTRG.31065.11
51	MSTRG.31083.1
47	MSTRG.31144.7
40	MSTRG.31178.13
108	MSTRG.31178.17
27	MSTRG.31193.48
35	MSTRG.31232.10
23	MSTRG.31479.6
23	MSTRG.31678.19
51	MSTRG.31678.34
106	MSTRG.3181.9
136	MSTRG.31957.67
44	MSTRG.31957.70
88	MSTRG.31986.19
57	MSTRG.31991.8
100	MSTRG.32044.9
4462	MSTRG.32194.20
4462	MSTRG.32194.21
4462	MSTRG.32194.29
4462	MSTRG.32194.30
136	MSTRG.32194.49
917	MSTRG.32194.55
48	MSTRG.32241.3
43	MSTRG.32244.8
7402	MSTRG.32270.37
28	MSTRG.32282.2
3369	MSTRG.32282.4
135	MSTRG.32297.10
43	MSTRG.32314.6
8370	MSTRG.32443.60
29	MSTRG.32456.10
25	MSTRG.32456.13
526	MSTRG.32456.15
62	MSTRG.32456.16
48	MSTRG.32456.17
526	MSTRG.32456.3
30	MSTRG.32480.17
52	MSTRG.32480.5
34	MSTRG.32516.10
163	MSTRG.32516.15
66	MSTRG.32516.3
49	MSTRG.32516.4
462	MSTRG.32524.2
462	MSTRG.32524.9
776	MSTRG.32535.10
540	MSTRG.32535.12
41	MSTRG.32552.99
33	MSTRG.32565.10
24	MSTRG.32643.1
85	MSTRG.32643.10
93	MSTRG.32643.11
42	MSTRG.32643.13
41	MSTRG.32643.14
48	MSTRG.32643.15
74	MSTRG.32643.2
231	MSTRG.32643.3
43	MSTRG.32643.5
28	MSTRG.32643.7
125	MSTRG.32669.13
491	MSTRG.32670.15
158	MSTRG.32676.31
178	MSTRG.32693.1
28	MSTRG.32693.2
27	MSTRG.32785.4
199	MSTRG.32785.7
57	MSTRG.32847.25
93	MSTRG.32848.58
1834	MSTRG.32925.3
531	MSTRG.32994.1
531	MSTRG.32994.3
172	MSTRG.32994.6
22	MSTRG.33006.31
314	MSTRG.33069.11
314	MSTRG.33069.8
74	MSTRG.33128.59
1801	MSTRG.33130.8
55	MSTRG.33133.9
65	MSTRG.33165.14
1124	MSTRG.33165.17
25	MSTRG.33165.23
73	MSTRG.33169.16
34	MSTRG.33169.19
33	MSTRG.33169.2
22	MSTRG.33174.12
88	MSTRG.33174.61
1157	MSTRG.33180.66
28	MSTRG.33182.13
299	MSTRG.33309.28
383	MSTRG.33376.92
140	MSTRG.33376.96
22	MSTRG.33388.10
190	MSTRG.33388.11
58	MSTRG.33388.12
79	MSTRG.33388.13
69	MSTRG.33388.14
41	MSTRG.33388.15
57	MSTRG.33388.16
45	MSTRG.33388.17
55	MSTRG.33388.18
24	MSTRG.33388.5
39	MSTRG.33388.6
62	MSTRG.33388.7
59	MSTRG.33388.9
157	MSTRG.33620.14
31	MSTRG.33648.5
23	MSTRG.33648.7
144	MSTRG.33732.8
38	MSTRG.33745.2
45	MSTRG.33778.24
43	MSTRG.33778.38
212	MSTRG.33872.10
212	MSTRG.33872.3
82	MSTRG.33872.6
129	MSTRG.33959.19
129	MSTRG.33959.20
31	MSTRG.33977.1
23	MSTRG.33994.10
55	MSTRG.33994.2
871	MSTRG.33994.3
538	MSTRG.33994.7
131	MSTRG.33994.8
100	MSTRG.34036.57
44	MSTRG.3406.11
43	MSTRG.3406.13
41	MSTRG.3406.14
27	MSTRG.3406.16
38	MSTRG.3406.19
37	MSTRG.3406.3
47	MSTRG.3406.6
30	MSTRG.3406.8
36	MSTRG.3406.9
50	MSTRG.34073.9
123	MSTRG.341.15
110	MSTRG.34122.73
27	MSTRG.34132.8
81	MSTRG.34136.1
131	MSTRG.34136.4
131	MSTRG.34139.24
531	MSTRG.34139.25
40	MSTRG.34139.26
27	MSTRG.34139.29
27	MSTRG.34139.30
79	MSTRG.34139.35
46	MSTRG.34148.3
88	MSTRG.34148.6
79	MSTRG.34148.7
1211	MSTRG.34155.11
1211	MSTRG.34155.2
1211	MSTRG.34155.4
82	MSTRG.34156.8
24	MSTRG.34171.2
46	MSTRG.34182.10
79	MSTRG.34182.13
79	MSTRG.34182.8
52	MSTRG.3425.10
27	MSTRG.3425.4
192	MSTRG.34251.2
93	MSTRG.34251.7
361	MSTRG.34366.10
368	MSTRG.34366.3
361	MSTRG.34366.5
361	MSTRG.34366.6
45	MSTRG.34431.17
55	MSTRG.34431.61
121	MSTRG.34431.66
1145	MSTRG.34437.57
1688	MSTRG.34522.9
27	MSTRG.34542.50
7279	MSTRG.34689.8
768	MSTRG.347.5
273	MSTRG.347.6
768	MSTRG.347.7
3485	MSTRG.34728.3
1734	MSTRG.34728.4
100	MSTRG.3475.2
53	MSTRG.34788.1
279	MSTRG.34833.11
8540	MSTRG.34838.20
82	MSTRG.35003.25
23	MSTRG.35021.2
23	MSTRG.3510.12
35	MSTRG.3510.13
39	MSTRG.3510.15
3178	MSTRG.3517.20
3152	MSTRG.3517.34
141	MSTRG.35540.3
36	MSTRG.3556.4
3189	MSTRG.35608.6
3189	MSTRG.35608.8
1424	MSTRG.35806.13
2488	MSTRG.35845.3
2816	MSTRG.35856.21
30	MSTRG.35900.28
34	MSTRG.35900.9
49	MSTRG.35907.3
4754	MSTRG.35969.3
491	MSTRG.36018.6
995	MSTRG.36251.2
1353	MSTRG.36388.12
2257	MSTRG.36388.17
2257	MSTRG.36388.8
1659	MSTRG.36390.3
1664	MSTRG.36390.4
1784	MSTRG.36390.5
1779	MSTRG.36390.6
45	MSTRG.36473.18
48	MSTRG.36473.30
38	MSTRG.36479.1
24	MSTRG.36481.2
143	MSTRG.36494.22
209	MSTRG.36511.2
291	MSTRG.36511.4
37	MSTRG.36511.5
42	MSTRG.36513.64
23	MSTRG.3653.10
930	MSTRG.36546.36
930	MSTRG.36546.5
39	MSTRG.36559.21
183	MSTRG.36559.23
36	MSTRG.36568.30
24	MSTRG.36602.1
84	MSTRG.36602.10
128	MSTRG.36612.22
25	MSTRG.36621.1
196	MSTRG.36621.8
179	MSTRG.36627.4
57	MSTRG.36627.8
91	MSTRG.36645.5
54	MSTRG.36663.5
29	MSTRG.36793.11
49	MSTRG.36806.1
73	MSTRG.36817.25
29	MSTRG.36827.15
266	MSTRG.36920.3
29	MSTRG.36945.9
1168	MSTRG.36970.27
1168	MSTRG.36970.34
31	MSTRG.37042.7
148	MSTRG.37065.5
120	MSTRG.37069.10
24	MSTRG.37069.15
32	MSTRG.37084.26
362	MSTRG.37207.17
35	MSTRG.37235.26
156	MSTRG.37243.1
47	MSTRG.37243.8
89	MSTRG.37243.9
109	MSTRG.37244.11
138	MSTRG.37245.5
34	MSTRG.37271.6
84	MSTRG.37290.6
62	MSTRG.37356.1
1151	MSTRG.37356.35
22	MSTRG.37356.6
32	MSTRG.37356.7
307	MSTRG.37443.12
54	MSTRG.37446.3
40	MSTRG.37466.6
180	MSTRG.37479.8
301	MSTRG.37527.5
31	MSTRG.37901.1
31	MSTRG.37901.10
31	MSTRG.37901.5
75	MSTRG.37901.7
26	MSTRG.37902.1
41	MSTRG.37906.17
33	MSTRG.37906.8
1137	MSTRG.38052.5
26	MSTRG.38099.11
38	MSTRG.38102.34
31	MSTRG.38112.1
26	MSTRG.38112.12
27	MSTRG.38112.14
116	MSTRG.38123.15
171	MSTRG.38244.27
84	MSTRG.38273.43
38	MSTRG.38274.1
39	MSTRG.38274.10
51	MSTRG.38274.12
55	MSTRG.38274.16
47	MSTRG.38274.2
24	MSTRG.38274.25
44	MSTRG.38274.3
37	MSTRG.38274.4
47	MSTRG.38274.5
56	MSTRG.38274.7
43	MSTRG.38274.8
38	MSTRG.38274.9
24	MSTRG.38299.12
150	MSTRG.38299.37
29	MSTRG.38299.6
46	MSTRG.38299.9
49	MSTRG.38308.12
40	MSTRG.38308.14
50	MSTRG.38308.15
52	MSTRG.38308.19
58	MSTRG.38308.20
47	MSTRG.38308.22
38	MSTRG.38382.3
438	MSTRG.38383.4
38	MSTRG.38412.4
129	MSTRG.38427.19
129	MSTRG.38427.2
129	MSTRG.38427.20
136	MSTRG.38427.21
1094	MSTRG.38427.26
129	MSTRG.38427.3
1094	MSTRG.38427.34
140	MSTRG.38427.36
4146	MSTRG.38465.31
371	MSTRG.38479.1
509	MSTRG.38479.2
